"","trt_id","trt","trt_short","block","rotation","crop_numb","GWC","Total.C","Total.N","NH4","NO3","pHH2O","Clay","Silt","Sand","richness","shannon","simp.even","J"
"BD-01","B-102","B2",2,1,"fallow",10,0.179,11.9,1,0.036,1.917,7,38,11,51,8543,7.11851035770771,0.0317474698525809,0.786336748806075
"BD-02","B-111","B3",3,1,"CSW-2cov",5,0.125,11.6,1,0.146,1.074,6.1,35,19,46,7566,6.84246535318773,0.0243626725736662,0.766123054093354
"BD-03","B-107","B6",6,1,"CSW-1cov",4,0.18,11.5,1,0.089,1.014,6.58,38,21,41,7435,6.87681713348655,0.0280953912418008,0.771478180430619
"BD-04","B-119","B9",9,1,"CSW",3,0.189,8.2,0.8,0.062,1.935,6.83,32,19,48,8870,7.02865889531305,0.027061018811863,0.773202809169169
"BD-05","B-109","B12",12,1,"CS",2,0.198,10.5,1.1,0.042,0.684,6.84,36,11,53,8223,6.96846062746835,0.0246530338910287,0.773022072073394
"BD-06","B-108","B18",18,1,"C",1,0.179,8.7,0.8,0.044,1.059,6.95,37,11,52,8086,7.0712703149596,0.0342140252592631,0.785891797378829
"BD-09","B-206","B2",2,2,"fallow",10,0.144,7.4,0.7,0.082,1.245,6.52,17,55,28,8224,7.06237422848222,0.0339860625277465,0.783429483086458
"BD-10","B-203","B3",3,2,"CSW-2cov",5,0.103,7.5,NA,0.038,1.494,6.25,12,66,22,7222,6.6260918283744,0.0208807645876176,0.745782692609816
"BD-11","B-207","B6",6,2,"CSW-1cov",4,0.153,8.5,0.9,0.041,1.379,6.02,17,53,30,7810,6.8960698735535,0.0274231150893317,0.769390282724788
"BD-12","B-205","B9",9,2,"CSW",3,0.085,5.3,0.6,0.1,1.58,6.32,9,70,21,7282,6.87541061705185,0.0263392615047441,0.773124081071577
"BD-13","B-202","B12",12,2,"CS",2,0.115,5.7,0.4,0.041,0.405,6.64,12,65,23,8966,7.11924487784828,0.0254738766238221,0.782241473445785
"BD-14","B-208","B18",18,2,"C",1,0.164,7.5,0.6,0.133,1.723,6.77,18,42,40,8101,7.01984470813479,0.0300191649708859,0.78001573648998
"BD-17","B-316","B2",2,3,"fallow",10,0.134,6.4,0.6,0.037,1.275,6.41,25,46,29,8218,7.13453758071849,0.035790658328856,0.791498655226624
"BD-18","B-306","B3",3,3,"CSW-2cov",5,0.123,8.4,0.8,0.089,1.768,6.35,17,63,20,6887,6.75213227310617,0.0222667857981903,0.764053930962988
"BD-19","B-317","B6",6,3,"CSW-1cov",4,0.138,9.4,0.9,0.069,1.574,6.5,22,53,25,4329,6.70963040204105,0.0496775694562836,0.801354584276881
"BD-20","B-314","B9",9,3,"CSW",3,0.135,7.3,0.7,0.077,0.99,6.5,18,52,30,8275,7.0628627420429,0.029865443418817,0.782946669390389
"BD-21","B-313","B12",12,3,"CS",2,0.136,6.5,0.7,0.1,1.976,6.59,18,55,27,8453,7.08518486862289,0.0304753154645578,0.78357230340986
"BD-22","B-311","B18",18,3,"C",1,0.14,6.7,0.6,0.07,0.957,6.5,18,55,26,8473,7.1432273990767,0.0301879979162611,0.789784964655985
"BD-25","B-402","B2",2,4,"fallow",10,0.17,9.2,0.8,0.125,1.566,6.86,22,43,35,9350,7.16356476955773,0.0308284598668396,0.783500540824538
"BD-26","B-403","B3",3,4,"CSW-2cov",5,0.141,8.3,0.9,0.088,0.618,6.29,19,55,26,7255,6.7474983538484,0.0242331760659962,0.759057747922471
"BD-27","B-406","B6",6,4,"CSW-1cov",4,0.158,9.2,0.9,0.041,0.405,6.39,17,56,27,8070,6.89217002428757,0.0254289801610536,0.766155499327833
"BD-28","B-409","B9",9,4,"CSW",3,0.18,8.9,0.7,0.031,0.541,6.5,25,39,37,8464,6.9924148299288,0.027132140570843,0.773201363569391
"BD-29","B-412","B12",12,4,"CS",2,0.188,8.1,0.7,0.23,1.584,6.58,24,34,42,8118,7.00662587662584,0.0260683611585725,0.778365585983799
"BD-30","B-418","B18",18,4,"C",1,0.2,9.5,0.9,0.391,1.49,6.08,28,37,35,8550,6.9994847296969,0.0263691003812091,0.773118785409138
"BD-33","B-112","B15",15,1,"C-1cov",2,0.21,10.2,0.9,0.045,0.781,6.79,36,9,55,8261,7.07588047234634,0.0311581980257418,0.784537017452833
"BD-34","B-213","B15",15,2,"C-1cov",2,0.136,7.3,0.7,0.054,1.393,6.52,17,54,29,7645,6.90581947407615,0.027788897970788,0.772318213972519
"BD-35","B-301","B15",15,3,"C-1cov",2,0.187,11.1,1,0.082,1.471,6.23,31,36,33,8770,7.0536192910818,0.0250729993265909,0.776917759829318
"BD-36","B-415","B15",15,4,"C-1cov",2,0.175,7.7,1.1,0.041,2.351,6.31,23,44,33,7367,6.86049778638928,0.027610979987127,0.770441636727475
