X,Treatment,Treatcode,Block,POXC,PMC,PMN
BD-01,B2,9,1,338,791,87
BD-02,B3,8,1,340,577,72
BD-03,B6,7,1,341,616,72
BD-04,B9,6,1,270,702,69
BD-05,B12,5,1,299,739,51
BD-06,B18,3,1,308,508,46
BD-09,B2,9,2,244,472,70
BD-10,B3,8,2,191,917,40
BD-11,B6,7,2,329,914,57
BD-12,B9,6,2,202,486,34
BD-13,B12,5,2,265,432,33
BD-14,B18,3,2,242,428,39
BD-17,B2,9,3,218,534,53
BD-18,B3,8,3,274,736,61
BD-19,B6,7,3,310,899,62
BD-20,B9,6,3,261,551,43
BD-21,B12,5,3,250,482,40
BD-22,B18,3,3,225,500,45
BD-25,B2,9,4,285,479,48
BD-26,B3,8,4,341,880,57
BD-27,B6,7,4,316,759,67
BD-28,B9,6,4,354,1155,49
BD-29,B12,5,4,312,463,43
BD-30,B18,3,4,153,372,40
BD-33,B15,4,1,317,880,54
BD-34,B15,4,2,265,534,52
BD-35,B15,4,3,357,614,50
BD-36,B15,4,4,265,575,37
