,trt_id,trt,trt_short,block,rotation,crop_numb,covercrop_g,weeds_g,crop_g,biomass_total,covercrop_prop,weeds_prop,crop_prop
BD-01,B-102,B2,2,1,fallow,10,19.9472,722966.3168,0,722986.264,2.76E-05,0.99997241,0
BD-02,B-111,B3,3,1,CSW-2cov,5,9774.128,46429.6014,2129105,2185308.729,0.004472653,0.021246244,0.974281103
BD-03,B-107,B6,6,1,CSW-1cov,4,11709.0064,15993.29095,1648464,1676166.297,0.006985588,0.00954159,0.983472823
BD-04,B-119,B9,9,1,CSW,3,0,13074.76625,1409765,1422839.766,0,0.009189205,0.990810795
BD-05,B-109,B12,12,1,CS,2,0,84235.15555,1825689,1909924.156,0,0.044103927,0.955896073
BD-06,B-108,B18,18,1,C,1,0,12379.731,1389452,1401831.731,0,0.008831111,0.991168889
BD-07,B-103,B19,19,1,S,1,0,82497.25575,831998,914495.2558,0,0.090210698,0.909789302
BD-08,B-120,B20,20,1,W,1,0,0,707459,707459,0,0,1
BD-09,B-206,B2,2,2,fallow,10,0,710325.4022,0,710325.4022,0,1,0
BD-10,B-203,B3,3,2,CSW-2cov,5,6183.632,10317.6892,1445806,1462307.321,0.004228682,0.00705576,0.988715559
BD-11,B-207,B6,6,2,CSW-1cov,4,8163.3916,35702.9946,1783027,1826893.386,0.004468455,0.019543009,0.975988535
BD-12,B-205,B9,9,2,CSW,3,169.5512,30891.35595,1377296,1408356.907,0.000120389,0.021934323,0.977945287
BD-13,B-202,B12,12,2,CS,2,0,25412.7328,1272845,1298257.733,0,0.01957449,0.98042551
BD-14,B-208,B18,18,2,C,1,0,38796.0573,1360484,1399280.057,0,0.027725727,0.972274273
BD-15,B-218,B19,19,2,S,1,0,12592.9167,824780,837372.9167,0,0.0150386,0.9849614
BD-16,B-215,B20,20,2,W,1,0,0,654923,654923,0,0,1
BD-17,B-316,B2,2,3,fallow,10,0,503339.5413,0,503339.5413,0,1,0
BD-18,B-306,B3,3,3,CSW-2cov,5,3939.572,12050.6022,1134244,1150234.174,0.003425017,0.010476651,0.986098331
BD-19,B-317,B6,6,3,CSW-1cov,4,5276.0344,13553.49905,1489600,1508429.533,0.0034977,0.008985172,0.987517128
BD-20,B-314,B9,9,3,CSW,3,0,23293.96615,1403258,1426551.966,0,0.016328859,0.983671141
BD-21,B-313,B12,12,3,CS,2,0,9254.2541,1408007,1417261.254,0,0.006529674,0.993470326
BD-22,B-311,B18,18,3,C,1,0,34514.26615,1341378,1375892.266,0,0.025085006,0.974914994
BD-23,B-315,B19,19,3,S,1,0,98657.6045,771514,870171.6045,0,0.113377182,0.886622818
BD-24,B-318,B20,20,3,W,1,0,0,667773,667773,0,0,1
BD-25,B-402,B2,2,4,fallow,10,0,553577.8112,0,553577.8112,0,1,0
BD-26,B-403,B3,3,4,CSW-2cov,5,6338.2228,66143.6685,1466825,1539306.891,0.004117582,0.042969774,0.952912644
BD-27,B-406,B6,6,4,CSW-1cov,4,14416.8388,168000.3052,1290244,1472661.144,0.009789651,0.114079404,0.876130945
BD-28,B-409,B9,9,4,CSW,3,0,3007.0404,1430865,1433872.04,0,0.002097147,0.997902853
BD-29,B-412,B12,12,4,CS,2,0,27156.24275,1702507,1729663.243,0,0.015700306,0.984299694
BD-30,B-418,B18,18,4,C,1,0,267173.4202,1348933,1616106.42,0,0.1653192,0.8346808
BD-31,B-419,B19,19,4,S,1,0,72396.49235,782298,854694.4924,0,0.084704527,0.915295473
BD-32,B-420,B20,20,4,W,1,0,0,842541,842541,0,0,1
BD-33,B-112,B15,15,1,C-1cov,2,4887.064,223690.3942,2210316,2438893.458,0.002003804,0.091717985,0.906278211
BD-34,B-213,B15,15,2,C-1cov,2,13519.2148,17418.8924,1533862,1564800.107,0.008639579,0.011131705,0.980228716
BD-35,B-301,B15,15,3,C-1cov,2,5994.1336,34445.69765,1958056,1998495.831,0.002999323,0.017235812,0.979764866
BD-36,B-415,B15,15,4,C-1cov,2,26524.7892,61188.036,1011058,1098770.825,0.02414042,0.055687714,0.920171866
